rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
31,昔涟即“开拓”？来古士输才是“赢麻了”？神秘出手，颠覆所有！【普通星铁考据·3.5】,Muc虚空之翼,68259,11888,0.1742,6922,3568,579,755,1324,2289,https://www.bilibili.com/video/BV1okeMzxE9X,BV1okeMzxE9X,"前方高能，暴论超多
BGM：HOYO-MiX - 有关星空的寓言集•其一 Fables About the Stars Part 1；SIGONO,林蝉 - 龙脉长歌；星穹铁道3.5剧情插曲，来古士BOSS战曲；假面骑士圣刃「Timeless Story」； 假面骑士 圣刃 主题曲 OP 「ALMIGHTY～仮面の约束 ；川井憲次 - 騎士王の誇り；林ゆうき - ROBOTICS;NOTES；梶浦"
32,谁能拔老子出来啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,苍骸里边住着诡靥,200542,34864,0.1738,3770,8972,3107,936,490,195,https://www.bilibili.com/video/BV16BYszuEaq,BV16BYszuEaq,"BGM / ぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬぬ - だ れ か ぬ い て く れ[谁能够拔我出来啊]
表演 / 诡靥
剪辑 / 苍骸
鸣谢 / 去你的在旁边看了三分钟的墨镜钻头奇美拉(无责任集合体)，钢制[?]超硬小方椅(绑定诅咒)，原P主@ぬぬぬぬぬぬぬぬぬぬ 
如有什么建议请不吝赐教，你"
33,【明日方舟】界园的天天天国地狱国,亓音亓w亓,195053,33807,0.1733,5907,9145,4759,523,2095,71,https://www.bilibili.com/video/BV1YkYtzPE2r,BV1YkYtzPE2r,
34,谁说父子一定有配合！？,牛牛爱吃草丶,63662,10915,0.1715,5710,2316,57,245,480,893,https://www.bilibili.com/video/BV1QeeuzSEo6,BV1QeeuzSEo6,
35,星尘：😡😡😡🤬🤬,MaxXSoft,843256,144475,0.1713,43162,78264,5930,2321,15569,189,https://www.bilibili.com/video/BV1GhbhzeELZ,BV1GhbhzeELZ,"我无法逃离这个充满戾气的互联网。

《皈依者狂热》
演唱：星尘Infinity
作词/作曲/编曲/调教/混音/母带：MaxXing
策划/分镜/动画/3D/后期：MaxXing

特别感谢：@KAI_sss  （提供混音指导）
借物表：
MMD：椛暗式星尘（模型：椛暗 流云景，模型定制委托人：诚实的月亮，配布：BV1rh4y1j7sQ）
其他3D模型：
Hand Sculpture：re1mons"
36,“有你在身边，夏天才圆满！”,小白不留行,596353,101101,0.1695,20002,19989,1369,557,319,130,https://www.bilibili.com/video/BV1k2YbzJEwj,BV1k2YbzJEwj,"夏天一定还会到来，大家的旅程都在继续。
只要我们都珍惜着彼此，总有一天还会相聚。

感谢白枝雪鸽、KeenanLiu两位老师的共同创作！"
37,一口气捐出300台AED，夸我！立一下人设！,大漠叔叔,173482,29358,0.1692,15634,1672,146,1125,461,143,https://www.bilibili.com/video/BV1SKe3zmErt,BV1SKe3zmErt,
38,新账旧账该一起算了，马格马星人!咿呀!,狮心中帝,431384,72162,0.1673,3809,8423,2437,722,200,22,https://www.bilibili.com/video/BV1kbYnzfEHj,BV1kbYnzfEHj,-
39,【苏星河】在手机上看一部电影，究竟得先看多少广告？,苏星河牛通,68057,11306,0.1661,10881,3085,1042,1012,570,710,https://www.bilibili.com/video/BV1seegzzEnH,BV1seegzzEnH,结尾有惊喜！
40,【罗小黑战记2】师父的拖鞋都滑得比你们帅气,乘于零呀,986007,162985,0.1653,19123,49390,9791,915,398,30,https://www.bilibili.com/video/BV14CYyzqE6z,BV14CYyzqE6z,"参考:外网MellyVuong
不会填词，你们在评论区填词哈哈哈（坏笑）！！
下一个做什么呢？评论区说说"
41,打开书本里最奇特的岛屿，巴哈马猪猪岛！,何香蓓Betty,80540,13275,0.1648,1111,827,480,216,268,273,https://www.bilibili.com/video/BV1d8euzpEPn,BV1d8euzpEPn,-
42,Re:佩恩从零开始的异世界生活！！！【三】,-夏秋冬-,51339,8299,0.1617,5437,2089,545,499,1241,420,https://www.bilibili.com/video/BV1Kue3z1EDC,BV1Kue3z1EDC,
43,辣到脑壳缺氧的各地辣椒试吃来啦！,夏夏嗦粉记,143355,23003,0.1605,5394,1456,234,480,421,105,https://www.bilibili.com/video/BV1jqbzzaEY3,BV1jqbzzaEY3,
44,当身体被打败意志将带你杀出重围！,阿铭铭丶,2148991,339401,0.1579,93040,53903,4091,4001,76151,104,https://www.bilibili.com/video/BV1z9bLzYEhS,BV1z9bLzYEhS,
45,战争会倒下，但和平永远屹立不倒#手工 #扑克牌 #抗战胜利80周年,爱摆牌的龙龙1代摆,191750,30189,0.1574,17890,2435,154,445,274,120,https://www.bilibili.com/video/BV1S4bizrEat,BV1S4bizrEat,-
46,FNF mario's madness 真人版,Wcats_喝水,2283059,359390,0.1574,29285,59134,16558,8250,2783,103,https://www.bilibili.com/video/BV1D8bBz7EA9,BV1D8bBz7EA9,"视频里面非常厉害的素材是这个大佬哦@YuDi_ECH 
这款游戏是来自外国的Friday night funkin
视频里面的不是原版是一个模组名字叫mario's madness(马里奥的疯狂)视频里面演示的是模组的其中一首歌曲 no party (没有派对)

00:18-00:25动作对不上

（我怎么做了这个抽象视频）"
47,国际象棋，但是走法由点赞数量最高的评论决定（第九天）,喝彩城堡CastleBravo,188125,29445,0.1565,1131,2195,2202,5308,470,188,https://www.bilibili.com/video/BV16ZeuzPEQm,BV16ZeuzPEQm,"没有国际象棋行棋规则的限制，但是有将死逼和等规则，如果一方在当天被将死或者逼和，那么第二天另一方可以采取行动来避免将杀，否则游戏结束。

每天北京时间早上九点统计前一天的评论点赞数量。

视频素材来源：
【中字邦邦MV】春日影 ——CRYCHIC https://www.bilibili.com/video/BV1YE421L7wX/
【Laura Shigihara】Zombies on you"
48,看好了白凝冰，ai是这样用的哒,可乐加冰九分满,470166,73376,0.1561,2210,16864,1013,557,89,17,https://www.bilibili.com/video/BV1nXYkzXEHZ,BV1nXYkzXEHZ,-
49,线下打卡了外网爆火的怼人中餐厅，真实情况怎么样？,40ozzzz,179409,27980,0.156,1042,2495,311,336,190,216,https://www.bilibili.com/video/BV1noYWzMEhW,BV1noYWzMEhW,
50,总台在太空拍了一部电影,央视新闻,296528,46182,0.1557,2427,4530,3572,830,276,83,https://www.bilibili.com/video/BV1tEYazKEGm,BV1tEYazKEGm,
51,大姨翻唱『天天天国地獄国』，好魔性的音乐，多么超前的精神世界！,南姨Minami,474560,73528,0.1549,2633,9477,1562,905,648,99,https://www.bilibili.com/video/BV1awYtzhE8t,BV1awYtzhE8t,-
